WARN  - 2014-09-29 16:47:23.608; org.apache.solr.core.SolrCore; [lansearch] Solr index directory 'E:\Code\github\LANSearch_Servers\Solr\solr\lansearch\data\index' doesn't exist. Creating new index...
INFO  - 2014-09-29 16:47:23.615; org.apache.solr.core.CachingDirectoryFactory; return new directory for E:\Code\github\LANSearch_Servers\Solr\solr\lansearch\data\index
INFO  - 2014-09-29 16:47:23.728; org.apache.solr.core.SolrDeletionPolicy; SolrDeletionPolicy.onCommit: commits: num=1
	commit{dir=NRTCachingDirectory(MMapDirectory@E:\Code\github\LANSearch_Servers\Solr\solr\lansearch\data\index lockFactory=NativeFSLockFactory@E:\Code\github\LANSearch_Servers\Solr\solr\lansearch\data\index; maxCacheMB=48.0 maxMergeSizeMB=4.0),segFN=segments_1,generation=1}
INFO  - 2014-09-29 16:47:23.729; org.apache.solr.core.SolrDeletionPolicy; newest commit generation = 1
INFO  - 2014-09-29 16:47:23.731; org.apache.solr.core.SolrCore; created json: solr.JSONResponseWriter
INFO  - 2014-09-29 16:47:23.771; org.apache.solr.core.SolrCore; no updateRequestProcessorChain defined as default, creating implicit default
INFO  - 2014-09-29 16:47:23.776; org.apache.solr.core.RequestHandlers; created /update: org.apache.solr.handler.UpdateRequestHandler
INFO  - 2014-09-29 16:47:23.776; org.apache.solr.core.RequestHandlers; created /update/json: org.apache.solr.handler.UpdateRequestHandler
INFO  - 2014-09-29 16:47:23.776; org.apache.solr.core.RequestHandlers; created /update/csv: org.apache.solr.handler.UpdateRequestHandler
INFO  - 2014-09-29 16:47:23.777; org.apache.solr.core.RequestHandlers; created /update/json/docs: org.apache.solr.handler.UpdateRequestHandler
INFO  - 2014-09-29 16:47:23.780; org.apache.solr.core.RequestHandlers; created /select: solr.SearchHandler
INFO  - 2014-09-29 16:47:23.781; org.apache.solr.core.RequestHandlers; created /get: solr.RealTimeGetHandler
WARN  - 2014-09-29 16:47:23.782; org.apache.solr.core.RequestHandlers; Multiple requestHandler registered to the same name: /update ignoring: org.apache.solr.handler.UpdateRequestHandler
INFO  - 2014-09-29 16:47:23.783; org.apache.solr.core.RequestHandlers; created /update: solr.UpdateRequestHandler
INFO  - 2014-09-29 16:47:23.783; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.FieldAnalysisRequestHandler
INFO  - 2014-09-29 16:47:23.784; org.apache.solr.core.RequestHandlers; created /analysis/field: solr.FieldAnalysisRequestHandler
INFO  - 2014-09-29 16:47:23.784; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.DocumentAnalysisRequestHandler
